parm_1;parm_2;parm_3;parm_4;parm_5;parm_6
6,73E+19;2,47E+19;3,35E+19;2,45E+19;-4,88E+19;2,46E+19
1,42E+20;-4,00E+19;2,21E+19;9,09E+18;-5,78E+19;2,12E+19
1,64E+20;-6,98E+18;2,13E+19;2,17E+19;-6,47E+19;1,96E+19
9,87E+19;-1,13E+19;2,94E+19;3,16E+19;-6,30E+19;1,87E+19
1,46E+20;-8,63E+18;3,93E+19;3,26E+19;-5,44E+19;1,95E+19
8,36E+19;-1,79E+19;2,05E+19;4,53E+19;-5,33E+19;1,87E+19
9,45E+19;-1,01E+19;1,13E+18;3,40E+19;-5,39E+19;1,51E+19
9,42E+19;9,58E+18;3,62E+19;1,99E+19;-6,42E+19;1,54E+19
1,35E+20;-7,14E+18;2,17E+19;1,24E+19;-3,26E+19;-4,49E+18
1,24E+20;5,34E+17;3,53E+19;2,38E+19;-5,41E+19;1,78E+19
1,64E+20;-1,80E+19;5,01E+19;3,73E+19;-7,29E+19;-2,76E+18
8,05E+19;1,44E+19;3,03E+19;2,63E+19;-5,59E+19;7,71E+18
1,20E+20;1,29E+19;1,54E+19;1,74E+19;-5,76E+19;1,37E+19
1,58E+20;-8,91E+18;1,43E+19;2,80E+19;-4,94E+19;7,17E+18
1,48E+20;-1,93E+19;4,18E+19;5,24E+18;-7,46E+19;1,88E+19
7,72E+19;-4,66E+18;2,44E+19;4,35E+19;-5,22E+19;2,95E+19
1,47E+20;1,66E+19;3,78E+19;2,60E+19;-5,32E+19;1,59E+19
1,07E+20;2,60E+18;3,85E+19;3,31E+19;-6,58E+19;2,27E+19
1,38E+20;1,15E+19;3,01E+19;2,73E+19;-5,57E+19;9,55E+18
1,30E+20;-2,99E+19;3,10E+19;1,42E+19;-4,11E+19;3,87E+19
1,72E+20;-1,31E+19;1,67E+19;2,33E+19;-5,43E+19;2,77E+19
1,31E+20;-1,81E+19;-1,52E+18;1,49E+19;-6,00E+19;1,74E+18
5,77E+19;-3,49E+18;1,10E+19;3,17E+19;-5,18E+19;2,23E+19
7,15E+19;1,20E+19;3,04E+19;1,48E+19;-4,09E+19;2,38E+19
1,53E+20;-1,64E+19;2,52E+19;2,59E+19;-6,29E+19;2,08E+19
1,10E+20;-2,48E+19;2,98E+19;2,58E+19;-7,78E+19;1,93E+19
1,65E+20;-7,22E+18;2,76E+19;3,45E+19;-5,40E+19;1,38E+19
1,36E+20;-1,31E+17;3,05E+19;3,94E+19;-5,46E+19;2,93E+19
9,76E+19;-1,58E+19;4,63E+19;1,56E+17;-5,10E+19;6,78E+18
1,63E+20;1,11E+19;2,68E+19;-1,49E+17;-6,79E+19;1,56E+19
9,51E+19;-8,35E+18;3,10E+19;1,86E+19;-3,88E+19;1,93E+19
4,99E+19;1,89E+19;1,35E+19;2,39E+19;-5,46E+19;-1,05E+19
2,01E+20;2,54E+19;4,60E+19;2,76E+19;-4,74E+19;1,09E+19
5,32E+19;-7,99E+18;3,00E+19;2,35E+19;-4,20E+19;1,41E+19
1,44E+20;-1,08E+17;3,47E+19;1,94E+19;-7,07E+19;2,51E+19
1,58E+20;-3,03E+19;4,77E+19;3,67E+19;-5,18E+19;3,17E+19
1,26E+20;7,04E+18;4,25E+19;4,09E+19;-4,58E+19;1,72E+19
